序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,is_indoor,debrisstream_level,Avg_slope,Max_elevation,Slope_risk_level
1422,花蓮縣卓溪鄉,古風村,崙天18號,121.2645,23.2192,古風國小,古風村崙天,100,"水災,土石流",黃印龍,03-8846058,是,否,是,True,High,2.6407636665310834,237.35000610351562,Low
1426,花蓮縣卓溪鄉,古風村,1鄰20號,121.2649,23.2202,崙天社區活動中心,古風村崙天社區,50,"水災,土石流",林章成,03-8881852,是,否,是,True,High,3.337324822139719,242.6199951171875,Low
1434,花蓮縣富里鄉,竹田村,1鄰東竹10號,121.2899,23.2261,新興竹田聯合社區活動中心,新興村,80,"水災,土石流",陳韋睿,03-8821423,是,否,是,True,Low,6.901517636607498,275.30999755859375,Low
1474,花蓮縣富里鄉,萬寧村,7鄰鎮寧100號,121.2982,23.251,萬寧社區活動中心,萬寧村,50,"水災,土石流",彭家玲,03-8861120,是,否,是,True,Safe,3.96992377392258,200.8300018310547,Low
1487,花蓮縣富里鄉,東里村,1鄰福安路6-1號,121.3052,23.2673,東里社區活動中心,東里村,50,"水災,土石流",廖維正,03-8861165,是,否,是,True,Safe,1.913432745978382,170.4499969482422,Low
1495,花蓮縣玉里鎮,長良里,長良143-1號,121.2878,23.2768,長良社區活動中心,長良里,20,"水災,土石流",吳光玉,03-8801450,是,否,否,True,Medium,0.9277718465482607,171.77999877929688,Low
1500,花蓮縣卓溪鄉,卓清村,1鄰13號,121.2725,23.2775,清水社區活動中心,卓清村清水,50,"水災,土石流",劉筠捷,03-8885593,是,否,是,True,High,15.658575368928728,384.2200012207031,Low
1501,花蓮縣富里鄉,吳江村,6鄰吳江65-3號,121.3227,23.2787,吳江社區活動中心,吳江村,70,"水災,土石流",彭家玲,03-8861180,是,否,是,True,Safe,6.994433695809826,218.8000030517578,Low
1528,花蓮縣卓溪鄉,卓清村,12鄰18號,121.2703,23.2956,卓樂社區活動中心,卓清村卓樂社區,50,"水災,土石流",劉筠捷,03-8885593,是,否,是,True,High,11.357231607780069,335.8699951171875,Low
1555,花蓮縣玉里鎮,樂合里,樂合65-5號,121.345,23.3183,樂合社區活動中心,樂合里,35,"水災,土石流",陳阿洲,03-8887126,是,否,否,True,High,11.758212062642027,280.1600036621094,Low
1559,花蓮縣玉里鎮,源城里,水源57-1號,121.3004,23.3219,源城社區活動中心,源城里,35,"水災,土石流",徐永成,03-8889333,是,否,否,True,Medium,6.287158317587626,225.47999572753906,Low
1564,花蓮縣玉里鎮,中城里,信義路5號,121.3139,23.3275,玉里慈惠堂,中城里,40,"水災,土石流",何正雄,03-8882921,是,否,否,True,Low,1.2448090180521814,138.8699951171875,Low
1576,花蓮縣玉里鎮,泰昌里,中正路144號,121.3153,23.3352,中正堂,國武里、泰昌里、啟模里、永昌,100,"水災,土石流",邱國峰,03-8883166206,是,否,否,True,Medium,1.0874534787142909,136.5500030517578,Low
1589,花蓮縣玉里鎮,東豐里,東豐石岡32之1號,121.3399,23.3389,東豐社區活動中心,東豐里,25,"水災,土石流",黎煥發,03-8883720,是,否,否,True,Medium,7.445520471698668,180.83999633789062,Low
1601,花蓮縣卓溪鄉,卓溪村,7鄰73號,121.3038,23.3457,卓溪多功能活動中心,卓溪村,50,"水災,土石流",施慧玉,03-8980525,是,否,否,True,High,7.720699037894941,242.05999755859375,Low
1645,花蓮縣玉里鎮,大禹里,大禹226號,121.3289,23.3805,大禹社區活動中心,大禹里,40,"水災,土石流",張添富,03-8886293,是,否,否,True,Medium,1.1117496912261713,106.83999633789062,Low
1662,花蓮縣玉里鎮,觀音里,觀音9-1號,121.3573,23.3951,觀音社區活動中心,觀音里,0,"水災,土石流",李貴福,8851223,是,否,是,True,Medium,7.129407737626453,173.33999633789062,Low
1672,花蓮縣卓溪鄉,太平村,1鄰2號,121.3205,23.406,太平國小,太平村,100,"水災,土石流",林進明,03-8888713,是,否,是,True,Low,16.607242644008405,276.6499938964844,Low
1673,花蓮縣卓溪鄉,太平村,6鄰79-1號,121.3166,23.4071,太平社區活動中心,太平村,50,"水災,土石流",潘佳屏,03-8841364,是,否,是,True,Safe,4.331027749309655,161.4199981689453,Low
1706,花蓮縣玉里鎮,松浦里,松浦214-3號,121.3737,23.4293,松浦社區活動中心,松浦里,0,"水災,土石流",林誠觀,03-8851650,是,否,否,True,Low,5.391994490440713,149.4499969482422,Low
1711,花蓮縣玉里鎮,三民里,三民131-2號,121.3498,23.4321,三民社區活動中心,三民里,25,"水災,土石流",彭新發,03-8841164,是,否,否,True,Safe,8.112691438314759,134.1300048828125,Low
1718,花蓮縣卓溪鄉,古風村,12鄰4號,121.332,23.4363,古楓社區活動中心,古風村卓楓、白端社區,50,"水災,土石流",林章成,03-8881852,是,否,是,True,Low,16.69704783903332,283.2699890136719,Low
1719,花蓮縣卓溪鄉,立山村,6鄰58號,121.332,23.4363,立山社區活動中心,立山村,50,"水災,土石流",高雅芯,03-8841572,是,否,是,True,Low,16.69704783903332,283.2699890136719,Low
1726,花蓮縣卓溪鄉,崙山村,1鄰12號,121.3443,23.4391,崙山國小,崙山村、立山村,100,"水災,土石流",莊凱杰,03-8841350,是,否,是,True,Safe,15.720001671941963,200.25999450683594,Low
1727,花蓮縣卓溪鄉,崙山村,1鄰11-1號,121.3438,23.4393,崙山社區活動中心,崙山村,50,土石流,施鎮村,03-8841362,是,否,是,True,Safe,14.425569709158378,205.91000366210938,Low
1757,花蓮縣玉里鎮,春日里,75-1號,121.3967,23.455,春日社區活動中心,春日里,35,"水災,土石流",陳青廉,03-8875453,是,否,否,True,Safe,2.1124344948338165,99.2699966430664,Low
1771,花蓮縣瑞穗鄉,舞鶴村,14鄰中正南路二段278號,121.3536,23.4602,舞鶴社區活動中心,舞鶴村,100,"水災,土石流",楊明林,03-8871755,是,否,是,True,Safe,1.9249819458360635,239.2100067138672,Low
1778,花蓮縣豐濱鄉,靜浦村,64號,121.4954,23.4615,靜浦國小大禮堂,靜浦村,0,"水災,震災",李楊元,03-8781021,是,否,是,True,Safe,7.798567435406237,67.8499984741211,Low
1796,花蓮縣玉里鎮,德武里,5鄰能雅79號,121.4074,23.4669,德武里原住民多功能活動中心,德武里,50,"水災,土石流",余榮富,03-8873161,是,否,否,True,Safe,7.286204195081749,187.94000244140625,Low
1829,花蓮縣豐濱鄉,港口村,7鄰118號,121.5043,23.4745,港口活動中心,港口村,0,"水災,震災,土石流",蕭清秀,03-8791450,是,否,是,True,Low,8.572306465648236,86.41999816894531,Low
1868,花蓮縣瑞穗鄉,瑞美村,仁愛路109號,121.3904,23.4909,瑞穗青蓮寺,全鄉,100,"水災,土石流",張雲艽,03-8875438,是,否,是,True,Safe,1.1788617770884589,86.9800033569336,Low
1870,花蓮縣瑞穗鄉,鶴岡村,167 號,121.39,23.4913,花蓮縣鶴岡國民小學,鶴岡村,100,"水災,震災",蔡伍原,03-8872740,否,否,否,True,Safe,1.0584011524933714,87.38999938964844,Low
1874,花蓮縣瑞穗鄉,瑞良村,4鄰信義路3號,121.394,23.4924,瑞良社區活動中心,瑞良村,30,"水災,土石流",黃義雄,03-8872559,是,否,是,True,Safe,1.866226908167156,83.0,Low
1878,花蓮縣瑞穗鄉,瑞美村,中山路二段389號,121.3916,23.4931,花蓮縣瑞穗鄉瑞美國民小學,瑞美村、瑞良村,50,"水災,土石流",簡三其,03-8872014,是,否,是,True,Safe,1.5325101822678122,85.06999969482422,Low
1880,花蓮縣瑞穗鄉,瑞美村,13鄰中山路二段387號,121.3912,23.4937,瑞美社區活動中心,瑞美村,30,"水災,土石流",蘇院林,03-8871611,是,否,是,True,Safe,1.694387171313984,85.06999969482422,Low
1883,花蓮縣瑞穗鄉,奇美村,2鄰40號,121.4467,23.4942,奇美社區活動中心,奇美村,20,"水災,土石流",蔣國雄,03-8991001,是,否,是,True,Safe,9.722876585130958,117.02999877929688,Low
1891,花蓮縣萬榮鄉,紅葉村,1鄰9號,121.3446,23.4954,紅葉社區活動中心,紅葉村,50,"水災,土石流,海嘯",胡春花,03-8871426,是,否,是,True,Low,11.361278506643401,252.55999755859375,Low
1894,花蓮縣瑞穗鄉,瑞穗村,成功北路18號,121.3759,23.4982,花蓮縣立瑞穗國民中學,全鄉,200,"水災,土石流",賴慶翰,03-8873111,是,否,是,True,Safe,1.607911038348114,106.5199966430664,Low
1901,花蓮縣瑞穗鄉,瑞祥村,4鄰祥北路二段127號,121.3588,23.4998,瑞祥社區活動中心,瑞祥村,30,"水災,土石流",黃崧庭,03-8876570,是,否,是,True,Low,6.729377604062387,178.6699981689453,Low
1902,花蓮縣瑞穗鄉,瑞穗村,14鄰民生街41號,121.3787,23.4998,瑞穗社區活動中心,瑞穗村,30,"水災,土石流",吳萬德,03-8872964,是,否,是,True,Safe,1.4756331237857423,101.19000244140625,Low
1913,花蓮縣壽豐鄉,豐裡村,中山路257號,121.3021,23.5034,豐裡活動中心,豐裡村,42,"水災,震災,土石流,海嘯",曾振倫,03-8652802,是,否,是,True,Safe,26.919373297409017,969.6300048828125,Medium
1923,花蓮縣瑞穗鄉,鶴岡村,14鄰85之6號,121.3911,23.5097,鶴岡社區活動中心,鶴岡村,30,"水災,土石流",余新德,03-8873392,是,否,是,True,Safe,2.5999017368912813,104.5199966430664,Low
1957,花蓮縣瑞穗鄉,瑞北村,4鄰祥北路一段54之1號,121.3765,23.5267,瑞北社區活動中心,瑞北村,30,"水災,土石流",李孔忠,03-8871754,是,否,是,True,Medium,2.670685326470821,110.08999633789062,Low
2047,花蓮縣豐濱鄉,豐濱村,16鄰豐里49之1號,121.4859,23.5681,八里灣基督長老教會,豐濱村八里灣部落,0,"水災,震災",吳德助,03-8791653,是,否,是,True,High,17.42862591420466,204.02000427246094,Low
2060,花蓮縣瑞穗鄉,富民村,2鄰中正路一段208之1號,121.3745,23.5743,富民社區活動中心,富民村,30,"水災,土石流",劉賢明,03-8811149,是,否,是,True,Low,1.5555104636269144,171.19000244140625,Low
2069,花蓮縣萬榮鄉,馬遠村,1鄰5號,121.362553,23.576867,馬遠社區活動中心,馬遠村,120,"水災,土石流,海嘯",溫秀瑛,03-8811184,是,否,是,True,Medium,6.347736272736666,205.66000366210938,Low
2070,花蓮縣萬榮鄉,馬遠村,2鄰馬遠39號,121.361934,23.576872,馬遠國民小學,馬遠村,200,"水災,土石流,海嘯",溫秀瑛,03-8811184,是,否,是,True,Medium,7.089103079984497,222.6999969482422,Low
2076,花蓮縣瑞穗鄉,富源村,10鄰學士路31號,121.3759,23.5776,富源社區活動中心,富源村,30,"水災,土石流",周玉梅,03-8811434,是,否,是,True,Medium,1.5768347868719002,176.85000610351562,Low
2077,花蓮縣瑞穗鄉,富源村,9鄰中正路157號,121.3764,23.5778,富源消防分隊,富源村、富民村、富興村,75,"水災,土石流",方小明,03-8811885,是,否,是,True,Medium,1.5839579861242832,176.85000610351562,Low
2085,花蓮縣瑞穗鄉,富興村,13鄰東興路134號,121.3877,23.5817,富興社區活動中心,富興村,30,"水災,土石流",莊明州,03-8811414,是,否,是,True,Low,1.8001966843701185,182.08999633789062,Low
2117,花蓮縣光復鄉,大全村,建國路一段1號,121.4125,23.598,光復自強外役監獄,大全村,300,"水災,震災,土石流",陳萬來,03-8703914#310,是,是,是,True,High,8.631746631906312,290.9100036621094,Low
2122,花蓮縣光復鄉,大富村,建國路一段 26之2號,121.4162,23.5992,花東山琉璃禪寺,大富村,50,"水災,震災,土石流",簡進發,03-8731340,是,否,是,True,High,10.322638514817244,303.6700134277344,Low
2130,花蓮縣豐濱鄉,豐濱村,光豐路26號,121.5218,23.6012,豐濱國中禮堂,豐濱村,0,"水災,震災,土石流",劉文彥,03-8791159,是,否,是,True,Safe,12.825850884265947,87.3499984741211,Low
2143,花蓮縣光復鄉,大富村,明德路29巷12號,121.3909,23.6073,大富國小,大富村.大豐村,80,"水災,震災,土石流",郭瑛忠,03-8701049,是,是,是,True,Safe,1.6734643701673046,189.5,Low
2177,花蓮縣光復鄉,大興村,民權街17號,121.3982,23.6323,大興國小,大興村,300,"水災,震災,土石流",陳吉文,03-8702987,是,是,是,True,Low,1.4274797620256185,158.0800018310547,Low
2180,花蓮縣光復鄉,大興村,民權街37號,121.3942,23.6338,大興活動中心,大興村,100,"水災,震災,土石流",劉建榮,03-8702216,是,否,是,True,Medium,2.0633311821639375,167.1999969482422,Low
2182,花蓮縣豐濱鄉,新社村,9鄰東興18-1號,121.5308,23.6351,東興部落原住民多功能活動中心,新社村及磯崎村,0,海嘯,石蓮花,03-8711158,是,否,是,True,High,11.944816629948669,102.7699966430664,Low
2185,花蓮縣光復鄉,西富村,民有街51巷3-1號,121.4295,23.6362,馬佛活動中心,西富村,100,"水災,震災,土石流",高有民,03-8702206,是,否,是,True,Safe,1.9266191653898674,143.6999969482422,Low
2202,花蓮縣光復鄉,南富村,建國路二段39號,121.4512,23.6419,砂荖活動中心,南富村,100,"水災,震災,土石流",吳福鍵,03-8702206,是,否,是,True,Safe,3.2791924776600005,152.5399932861328,Low
2219,花蓮縣豐濱鄉,新社村,150號,121.5354,23.6519,新社國小二樓綜合教室,新社村,200,"水災,震災,土石流",許傳方,03-8711138,是,否,是,True,Medium,13.87017106723976,131.8800048828125,Low
2220,花蓮縣光復鄉,大全村,中山路一段216巷8號,121.4184,23.6521,光復鄉立托兒所,大全村.大進村,100,"水災,震災,土石流",羅彩和,03-8705165,是,是,是,True,Low,0.9733046410886171,126.66000366210938,Low
2227,花蓮縣光復鄉,西富村,中正路二段72巷14號,121.4494,23.6584,西南活動中心,西富村,100,"水災,震災,土石流",劉貴滿,03-8702923,是,否,是,True,Safe,1.1390256872017204,115.19999694824219,Low
2232,花蓮縣光復鄉,北富村,中正路二段23號,121.4484,23.6601,太巴塱國小,北富村.西富村,100,"水災,震災,土石流",林萬男,03-8701134#10,是,是,是,True,Safe,1.6343544490760422,115.22000122070312,Low
2236,花蓮縣光復鄉,大同村,中正路一段370號,121.431,23.6633,大同活動中心,大同村,100,"水災,震災,土石流",吳張義,03-8701180,是,否,是,True,Safe,2.022468974066295,120.27999877929688,Low
2244,花蓮縣光復鄉,大華村,中華路257號,121.4233,23.6694,光復鄉公所,大安村、大華村,100,"水災,震災,土石流",黃微鈞,03-8702206#239,是,是,是,True,Medium,2.240404917379007,161.6999969482422,Low
2247,花蓮縣光復鄉,大馬村,林森路200號,121.4248,23.6705,光復國中,大平村.大馬村.大同村,100,"水災,震災,土石流",葉淑貞,03-8701027,是,是,是,True,Medium,1.1052264729780894,126.68000030517578,Low
2277,花蓮縣光復鄉,東富村,東富路60號,121.4825,23.6845,東富國小,東富村,100,"水災,震災,土石流",鄭金寶,03-8701292,是,是,是,True,Safe,8.981322559743287,165.74000549316406,Low
2293,花蓮縣萬榮鄉,明利村,5鄰75號,121.4018,23.696,馬太鞍社區活動中心,明利村,80,"水災,土石流,海嘯",許花麗,03-8751114,是,否,是,True,Safe,14.11522974109827,303.739990234375,Low
2323,花蓮縣萬榮鄉,明利村,2鄰34-8號,121.412375,23.704834,明利社區活動中心,明利村,100,"水災,土石流,海嘯",許花麗,03-8751114,是,否,是,True,Safe,10.347206773748695,264.6300048828125,Low
2333,花蓮縣豐濱鄉,磯崎村,71號,121.5419,23.7085,磯崎村辦公處活動中心,磯崎村,0,"水災,震災,土石流",李貴良,03-8711029,是,否,是,True,Medium,21.543989080524117,146.5800018310547,Medium
2337,花蓮縣鳳林鎮,長橋里,長橋路4號,121.4195,23.7097,長橋社區活動中心,長橋里,50,"水災,土石流",董經碩,03-8751131,是,否,否,True,Safe,1.4291127943116793,145.0800018310547,Low
2338,花蓮縣萬榮鄉,明利村,1鄰13-3號,121.414808,23.709766,萬榮鄉立幼兒園,明利村,50,"水災,土石流,海嘯",許花麗,03-8751114,是,否,是,True,Safe,1.6117874837379322,152.0500030517578,Low
2350,花蓮縣萬榮鄉,萬榮村,1鄰8號,121.410119,23.714392,萬榮社區活動中心,萬榮村,50,"水災,土石流,海嘯",陳如花,03-8751497,是,否,是,True,Safe,11.542997838436095,281.3800048828125,Low
2357,花蓮縣鳳林鎮,森榮里,林森路113-1號,121.3972,23.7176,森榮里辦公處,森榮里,30,水災,董經碩,03-8751926,是,否,否,True,Safe,12.061175182876504,253.10000610351562,Low
2384,花蓮縣鳳林鎮,鳳信里,中正路1段120巷24號,121.4434,23.7297,鳳信社區活動中心,鳳信里,50,"水災,土石流",傅金棟,03-8764212,是,否,否,True,Low,1.0276009861545874,122.69000244140625,Low
2397,花蓮縣鳳林鎮,鳳智里,中華路2號,121.449348,23.741218,樂活會館,鳳義里、鳳信里、山興里、南平里,150,"水災,震災,土石流",詹芳雅,03-8762771轉191,是,否,否,True,Safe,0.8798020203875848,109.76000213623047,Low
2401,花蓮縣鳳林鎮,鳳智里,中正路2段1號,121.4472,23.7429,鳳林鎮藝文中心,鳳智里、山興里,300,"水災,震災,土石流",巫賢偉,03-8762031#14,是,是,否,True,Safe,1.0225815712147648,110.37000274658203,Low
2403,花蓮縣鳳林鎮,鳳智里,鳳林鎮光復路8號,121.4488,23.7439,鳳林國中進德堂,鳳智里,350,"水災,震災,土石流",鍾孔麟,03-8762021,是,是,否,True,Safe,0.9133409855468952,109.06999969482422,Low
2405,花蓮縣鳳林鎮,鳳智里,光華路124號,121.4518,23.7447,鳳林鎮公所,鳳智里,80,"水災,震災,土石流",蕭文龍,03-8762772,是,否,否,True,Safe,0.9877926694574952,107.18000030517578,Low
2410,花蓮縣鳳林鎮,鳳智里,大同街7-1號,121.451,23.746,"鳳禮,鳳智里活動中心",鳳智里、鳳禮里,60,"水災,土石流",張燕春,03-8763910,是,否,是,True,Safe,0.8655770006834713,105.0199966430664,Low
2420,花蓮縣鳳林鎮,鳳義里,鳳林鎮水源路56-2號,121.4393,23.7491,鳳義社區活動中心,鳳義里,50,土石流,傅金棟,03-8763004,是,否,否,True,Safe,1.292012610960049,109.58000183105469,Low
2422,花蓮縣鳳林鎮,鳳仁里,中華路111號,121.452,23.7498,鳳仁社區活動中心,鳳仁里,50,"水災,土石流",劉清盛,03-8763174,是,否,否,True,Safe,0.9928673505892394,100.94999694824219,Low
2429,花蓮縣鳳林鎮,鳳仁里,鳳林鎮光復路94號,121.4518,23.7512,鳳仁國小羽球館,鳳仁里,300,"水災,震災,土石流",鍾肇憲,03-8762201,是,是,否,True,Low,1.1537324680685914,100.69000244140625,Low
2433,花蓮縣鳳林鎮,大榮里,復興路69號,121.4676,23.7523,大榮2村社區活動中心,大榮里,50,"水災,土石流",劉清盛,03-8763419,是,否,否,True,Safe,0.7119954244750544,90.41000366210938,Low
2434,花蓮縣鳳林鎮,大榮里,鳳林鎮大榮3路15號,121.4676,23.7523,大榮1村社區活動中心,大榮里,50,"水災,土石流",劉清盛,03-8763419,是,否,否,True,Safe,0.7119954244750544,90.41000366210938,Low
2480,花蓮縣鳳林鎮,北林里,民和路1號,121.471,23.7672,北林3村社區活動中心,北林里,50,土石流,戴佳明,8761724,是,否,否,True,Safe,0.846996245835257,86.19999694824219,Low
2505,花蓮縣鳳林鎮,南平里,自強路368-1號,121.4584,23.7817,南平社區活動中心,南平里,50,"水災,土石流",江麗琴,03-8771735,是,否,否,True,Low,1.4424768822170166,116.94999694824219,Low
2506,花蓮縣壽豐鄉,水璉村,水璉二街21號,121.5472,23.7817,水璉活動中心,水璉村,41,"水災,震災,土石流",黃文達,03-8601055,是,否,是,True,Safe,21.02893220600743,226.8800048828125,Medium
2509,花蓮縣萬榮鄉,見晴村,7鄰89號,121.451955,23.783512,見晴國民小學,見晴村,130,"水災,土石流,海嘯",馬麗琴,03-8771034,是,否,是,True,Medium,1.3427208860388657,126.16000366210938,Low
2534,花蓮縣壽豐鄉,米棧村,米棧路二段21號,121.5243,23.7951,米棧活動中心,米棧村,34,"水災,震災,土石流,海嘯",黃明輝,03-8741367,是,否,是,True,Medium,26.76539990192565,285.8699951171875,Medium
2561,花蓮縣鳳林鎮,林榮里,永康路54號,121.45,23.8035,林榮社區活動中心,林榮里,50,"水災,土石流",江麗琴,03-8771014,是,否,否,True,Safe,2.115138611788194,161.02000427246094,Low
2598,花蓮縣壽豐鄉,溪口村,溪口路103巷2號,121.4734,23.8195,溪口活動中心,溪口村,50,"水災,震災,土石流,海嘯",黃素珠,03-8652809,是,否,是,True,Low,2.6768074533455324,141.35000610351562,Low
2619,花蓮縣壽豐鄉,豐坪村,豐坪路2段73號,121.5096,23.8351,豐坪活動中心,豐坪村,32,"水災,震災,土石流,海嘯",曾振倫,03-8652803,是,否,是,True,Safe,1.00176619697774,55.040000915527344,Low
2629,花蓮縣壽豐鄉,樹湖村,大樹腳59號,121.4692,23.8407,樹湖活動中心,樹湖村,38,"水災,震災,土石流,海嘯",黃素珠,03-8652810,是,否,是,True,High,15.963577516963468,240.2100067138672,Low
2639,花蓮縣壽豐鄉,豐山村,中山路41號,121.4918,23.8464,豐山國小,豐山村,50,"水災,震災,土石流,海嘯",林忠宏,03-8651640,是,否,是,True,Safe,1.0654022796198854,59.970001220703125,Low
2643,花蓮縣壽豐鄉,豐山村,中山路127巷15號,121.4936,23.8478,豐山活動中心,豐山村,47,"水災,震災,土石流,海嘯",陳春盛,03-8652801,是,否,是,True,Safe,0.9802912485246859,55.13999938964844,Low
2660,花蓮縣萬榮鄉,西林村,8鄰134號,121.342737,23.855288,西林社區活動中心,西林村,100,"水災,土石流,海嘯",郭瑪利,03-8771524,是,否,是,True,Safe,49.26000154893558,1378.760009765625,High
2668,花蓮縣萬榮鄉,西林村,7鄰103號,121.3593,23.8576,西林天主堂,西林村,100,"水災,土石流,海嘯",郭瑪利,03-8771524,是,否,是,True,Safe,47.707554598184394,1293.0,High
2688,花蓮縣壽豐鄉,月眉村,月眉路3段24號,121.556384,23.867967,月眉國小,壽豐鄉月眉村,50,"水災,震災,土石流,海嘯",劉康盛,03-8631011,是,否,是,True,Medium,2.500396104841055,56.72999954223633,Low
2689,花蓮縣壽豐鄉,米棧村,米棧路一段53號,121.5564,23.8681,月眉國小-米棧分校,米棧村,45,"水災,震災,土石流,海嘯",鍾萬仁,03-8741270,是,否,是,True,Medium,2.4635557121697187,56.08000183105469,Low
2691,花蓮縣壽豐鄉,壽豐村,壽豐路1段97號,121.5099,23.8691,壽豐活動中心,壽豐村,13,"水災,震災,土石流,海嘯",劉鳳珠,03-8652805,是,否,是,True,Safe,1.8380873660271753,42.2599983215332,Low
2693,花蓮縣壽豐鄉,共和村,農墾2街38號,121.5308,23.8693,共和活動中心,共和村,31,"水災,震災,土石流,海嘯",劉鳳珠,03-8652804,是,否,是,True,Safe,1.568629551280984,34.709999084472656,Low
2697,花蓮縣壽豐鄉,壽豐村,壽山路26號,121.5091,23.8704,壽豐鄉公所,壽豐鄉各村,50,"水災,震災,土石流,海嘯",李昌貴,03-8654110,否,是,是,True,Safe,1.2430575379551252,42.189998626708984,Low
2698,花蓮縣壽豐鄉,壽豐村,公園路30號,121.5091,23.8704,文化中心,壽豐村,50,"水災,震災,土石流,海嘯",陳自強,03-8652131-122,是,否,是,True,Safe,1.2430575379551252,42.189998626708984,Low
2701,花蓮縣壽豐鄉,鹽寮村,鹽寮165號,121.59829,23.871385,鹽寮活動中心,鹽寮村,15,"水災,震災,土石流",黃文達,03-8671123,是,否,是,True,High,14.18633169550179,151.3000030517578,Low
2722,花蓮縣壽豐鄉,光榮村,光榮1街26之1號,121.5143,23.8817,光榮活動中心,光榮村,39,"水災,震災,土石流,海嘯",沈佩儀,03-8652806,是,否,是,True,Safe,1.248631282160668,48.709999084472656,Low
2727,花蓮縣壽豐鄉,平和村,平和路32號,121.5197,23.8837,平和活動中心,平和村,49,"水災,震災,土石流,海嘯",陳美珠,03-8661801,是,否,是,True,Safe,1.7709597284242422,51.040000915527344,Low
2792,花蓮縣壽豐鄉,月眉村,月眉路三段108號,121.554,23.8996,月眉活動中心,月眉村,53,"水災,震災,土石流,海嘯",黃明輝,03-8631116,是,否,是,True,Safe,0.9030192189805589,37.08000183105469,Low
2804,花蓮縣壽豐鄉,志學村,中正路120巷13號,121.5322,23.9053,志學活動中心,志學村,40,"水災,震災,土石流,海嘯",徐琬玲,03-8661800,是,否,是,True,Medium,0.903652865853003,50.130001068115234,Low
2848,花蓮縣壽豐鄉,池南村,池南路2段17號,121.506,23.9197,池南活動中心,池南村,53,"水災,震災,土石流,海嘯",沈佩儀,03-8641008,是,否,是,True,Medium,9.951383713524452,250.80999755859375,Low
2876,花蓮縣吉安鄉,光華村,光華二街200號,121.578,23.934,光華活動中心,光華村,37,"水災,震災,土石流",葉光南,8422057,是,否,是,True,Safe,1.1281299181580353,36.9900016784668,Low
2902,花蓮縣吉安鄉,干城村,干城一街97巷1號,121.545,23.9474,干城活動中心,干城村,35,"水災,震災,土石流",林世昌,8526086,是,否,是,True,Low,1.2156814271289578,80.69999694824219,Low
2903,花蓮縣秀林鄉,文蘭村,6鄰79號,121.5068,23.9479,文蘭活動中心,重光、米亞丸社區,100,"水災,震災,土石流,海嘯",杜明輝,955079056,是,否,是,True,Medium,6.361555342108814,190.38999938964844,Low
2912,花蓮縣吉安鄉,仁安村,南海三街71號,121.5968,23.9517,仁安活動中心,仁安村,63,"水災,震災,土石流",蔡文隆,8422948,是,否,是,True,Safe,1.0440334203779216,15.8100004196167,Low
