序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,is_indoor,geometry,debrisstream_level,Avg_slope,Max_elevation,Slope_risk_level,rain_1hr,sigma_1hr,rain_1hr_rf,village_A65UP_CNT,fusion_class,fusion_label,flood_confidence
1500,花蓮縣卓溪鄉,卓清村,1鄰13號,121.2725,23.2775,清水社區活動中心,卓清村清水,50,"水災,土石流",劉筠捷,03-8885593,是,否,是,True,POINT (277877.2401245794 2575038.2518591564),High,15.658575368928728,384.2200012207031,Low,20.23227748753367,0.0970346750806196,20.67,152.0,0,無淹水,low
1501,花蓮縣富里鄉,吳江村,6鄰吳江65-3號,121.3227,23.2787,吳江社區活動中心,吳江村,70,"水災,土石流",彭家玲,03-8861180,是,否,是,True,POINT (283012.52931200824 2575181.6790751675),Safe,6.994433695809826,218.8000030517578,Low,21.26129543004221,0.0984088101612966,26.301666666666662,123.0,0,無淹水,low
1528,花蓮縣卓溪鄉,卓清村,12鄰18號,121.2703,23.2956,卓樂社區活動中心,卓清村卓樂社區,50,"水災,土石流",劉筠捷,03-8885593,是,否,是,True,POINT (277648.436821285 2577042.184939088),High,11.357231607780069,335.8699951171875,Low,19.830344393568847,0.0997825508905058,20.575,152.0,0,無淹水,low
1555,花蓮縣玉里鎮,樂合里,樂合65-5號,121.345,23.3183,樂合社區活動中心,樂合里,35,"水災,土石流",陳阿洲,03-8887126,是,否,否,True,POINT (285283.41587961034 2579572.1777487462),High,11.758212062642029,280.1600036621094,Low,30.97564357890506,0.1013498530307446,29.45833333333333,301.0,0,無淹水,low
1559,花蓮縣玉里鎮,源城里,水源57-1號,121.3004,23.3219,源城社區活動中心,源城里,35,"水災,土石流",徐永成,03-8889333,是,否,否,True,POINT (280721.2810329964 2579960.6670460785),Medium,6.287158317587626,225.47999572753903,Low,20.698577645735,0.0966155499164253,22.78833333333333,292.0,0,無淹水,low
1564,花蓮縣玉里鎮,中城里,信義路5號,121.3139,23.3275,玉里慈惠堂,中城里,40,"水災,土石流",何正雄,03-8882921,是,否,否,True,POINT (282100.5619874256 2580583.7336130952),Low,1.2448090180521814,138.8699951171875,Low,24.83722287325317,0.096013377591853,29.73333333333333,1273.0,0,無淹水,low
1576,花蓮縣玉里鎮,泰昌里,中正路144號,121.3153,23.3352,中正堂,國武里、泰昌里、啟模里、永昌,100,"水災,土石流",邱國峰,03-8883166206,是,否,否,True,POINT (282241.8736839009 2581436.7332820185),Medium,1.0874534787142909,136.5500030517578,Low,25.952072318973872,0.096616269098049,30.476666666666667,443.0,0,無淹水,low
1589,花蓮縣玉里鎮,東豐里,東豐石岡32之1號,121.3399,23.3389,東豐社區活動中心,東豐里,25,"水災,土石流",黎煥發,03-8883720,是,否,否,True,POINT (284756.4714791715 2581852.1650433317),Medium,7.445520471698668,180.83999633789065,Low,31.78775754955168,0.0974479516656591,32.57333333333333,142.0,0,無淹水,low
1601,花蓮縣卓溪鄉,卓溪村,7鄰73號,121.3038,23.3457,卓溪多功能活動中心,卓溪村,50,"水災,土石流",施慧玉,03-8980525,是,否,否,True,POINT (281063.45893636235 2582596.973967707),High,7.720699037894941,242.05999755859372,Low,24.533446087084684,0.097898296218099,21.595,137.0,0,無淹水,low
1645,花蓮縣玉里鎮,大禹里,大禹226號,121.3289,23.3805,大禹社區活動中心,大禹里,40,"水災,土石流",張添富,03-8886293,是,否,否,True,POINT (283621.17245813616 2586456.31708558),Medium,1.1117496912261713,106.83999633789062,Low,36.94004545536049,0.0962599980375726,53.72666666666667,271.0,0,無淹水,low
1662,花蓮縣玉里鎮,觀音里,觀音9-1號,121.3573,23.3951,觀音社區活動中心,觀音里,0,"水災,土石流",李貴福,8851223,是,否,是,True,POINT (286520.3306665426 2588080.0182325863),Medium,7.129407737626453,173.33999633789062,Low,48.08055815235563,0.0999831380632308,53.083333333333336,423.0,0,無淹水,low
1672,花蓮縣卓溪鄉,太平村,1鄰2號,121.3205,23.406,太平國小,太平村,100,"水災,土石流",林進明,03-8888713,是,否,是,True,POINT (282756.22055982274 2589278.2473384747),Low,16.607242644008405,276.6499938964844,Low,36.59523116807967,0.0947757399650621,39.91833333333334,85.0,0,無淹水,low
1673,花蓮縣卓溪鄉,太平村,6鄰79-1號,121.3166,23.4071,太平社區活動中心,太平村,50,"水災,土石流",潘佳屏,03-8841364,是,否,是,True,POINT (282357.35671440605 2589399.180800844),Safe,4.331027749309655,161.4199981689453,Low,38.3885008844235,0.0941140839720632,38.223333333333336,85.0,0,無淹水,low
1706,花蓮縣玉里鎮,松浦里,松浦214-3號,121.3737,23.4293,松浦社區活動中心,松浦里,0,"水災,土石流",林誠觀,03-8851650,是,否,否,True,POINT (288186.80739415955 2591871.584541348),Low,5.391994490440713,149.4499969482422,Low,43.36671392465908,0.1058499681420487,41.75833333333333,342.0,0,無淹水,low
1711,花蓮縣玉里鎮,三民里,三民131-2號,121.3498,23.4321,三民社區活動中心,三民里,25,"水災,土石流",彭新發,03-8841164,是,否,否,True,POINT (285743.7940738788 2592175.5264642076),Safe,8.112691438314759,134.1300048828125,Low,48.16823268935078,0.0973153904761673,45.56,241.0,0,無淹水,low
1718,花蓮縣卓溪鄉,古風村,12鄰4號,121.332,23.4363,古楓社區活動中心,古風村卓楓、白端社區,50,"水災,土石流",林章成,03-8881852,是,否,是,True,POINT (283923.84125755256 2592636.3322755164),Low,16.69704783903332,283.2699890136719,Low,47.50016777054413,0.095393154526987,54.82,143.0,0,無淹水,low
1719,花蓮縣卓溪鄉,立山村,6鄰58號,121.332,23.4363,立山社區活動中心,立山村,50,"水災,土石流",高雅芯,03-8841572,是,否,是,True,POINT (283923.84125755256 2592636.3322755164),Low,16.69704783903332,283.2699890136719,Low,47.50016777054413,0.095393154526987,54.82,155.0,0,無淹水,low
1726,花蓮縣卓溪鄉,崙山村,1鄰12號,121.3443,23.4391,崙山國小,崙山村、立山村,100,"水災,土石流",莊凱杰,03-8841350,是,否,是,True,POINT (285179.92736311053 2592949.3558232905),Safe,15.720001671941963,200.25999450683597,Low,47.95271930409559,0.0970128342539747,48.97,72.0,0,無淹水,low
1727,花蓮縣卓溪鄉,崙山村,1鄰11-1號,121.3438,23.4393,崙山社區活動中心,崙山村,50,土石流,施鎮村,03-8841362,是,否,是,True,POINT (285128.78501541924 2592971.381889701),Safe,14.425569709158378,205.91000366210935,Low,47.95271930409559,0.0970128342539747,48.97,72.0,0,無淹水,low
1757,花蓮縣玉里鎮,春日里,75-1號,121.3967,23.455,春日社區活動中心,春日里,35,"水災,土石流",陳青廉,03-8875453,是,否,否,True,POINT (290529.2649886572 2594723.910762402),Safe,2.1124344948338165,99.2699966430664,Low,27.84417830860939,0.1057317480887624,31.971666666666668,215.0,0,無淹水,low
1771,花蓮縣瑞穗鄉,舞鶴村,14鄰中正南路二段278號,121.3536,23.4602,舞鶴社區活動中心,舞鶴村,100,"水災,土石流",楊明林,03-8871755,是,否,是,True,POINT (286124.45349223685 2595288.2870667484),Safe,1.9249819458360635,239.2100067138672,Low,44.286517093369135,0.0975364011026927,33.89333333333333,272.0,0,無淹水,low
1778,花蓮縣豐濱鄉,靜浦村,64號,121.4954,23.4615,靜浦國小大禮堂,靜浦村,0,"水災,震災",李楊元,03-8781021,是,否,是,True,POINT (300610.73035354726 2595474.982753567),Safe,7.798567435406237,67.8499984741211,Low,4.543163624514256,0.1113703968233953,7.75,196.0,0,無淹水,low
1796,花蓮縣玉里鎮,德武里,5鄰能雅79號,121.4074,23.4669,德武里原住民多功能活動中心,德武里,50,"水災,土石流",余榮富,03-8873161,是,否,否,True,POINT (291618.7234218451 2596044.786180678),Safe,7.286204195081749,187.94000244140625,Low,21.669529203305263,0.1048134706354275,23.13833333333333,210.0,0,無淹水,low
1829,花蓮縣豐濱鄉,港口村,7鄰118號,121.5043,23.4745,港口活動中心,港口村,0,"水災,震災,土石流",蕭清秀,03-8791450,是,否,是,True,POINT (301514.93598810397 2596917.7931437977),Low,8.572306465648236,86.41999816894531,Low,4.207487403467985,0.1117691492080673,8.461666666666666,226.0,0,無淹水,low
1868,花蓮縣瑞穗鄉,瑞美村,仁愛路109號,121.3904,23.4909,瑞穗青蓮寺,全鄉,100,"水災,土石流",張雲艽,03-8875438,是,否,是,True,POINT (289874.8219614759 2598697.765977131),Safe,1.1788617770884589,86.9800033569336,Low,21.12838750915913,0.0975275165864315,29.515,565.0,0,無淹水,low
1870,花蓮縣瑞穗鄉,鶴岡村,167 號,121.39,23.4913,花蓮縣鶴岡國民小學,鶴岡村,100,"水災,震災",蔡伍原,03-8872740,否,否,否,True,POINT (289833.8459885673 2598741.951715035),Safe,1.0584011524933714,87.38999938964844,Low,21.12838750915913,0.0975275165864315,29.515,231.0,0,無淹水,low
1874,花蓮縣瑞穗鄉,瑞良村,4鄰信義路3號,121.394,23.4924,瑞良社區活動中心,瑞良村,30,"水災,土石流",黃義雄,03-8872559,是,否,是,True,POINT (290242.06873720355 2598864.881764207),Safe,1.866226908167156,83.0,Low,21.12838750915913,0.0975275165864315,29.411666666666665,172.0,0,無淹水,low
1878,花蓮縣瑞穗鄉,瑞美村,中山路二段389號,121.3916,23.4931,花蓮縣瑞穗鄉瑞美國民小學,瑞美村、瑞良村,50,"水災,土石流",簡三其,03-8872014,是,否,是,True,POINT (289996.72554691945 2598941.7310024835),Safe,1.5325101822678122,85.06999969482422,Low,21.12838750915913,0.0975275165864315,27.488333333333333,565.0,0,無淹水,low
1880,花蓮縣瑞穗鄉,瑞美村,13鄰中山路二段387號,121.3912,23.4937,瑞美社區活動中心,瑞美村,30,"水災,土石流",蘇院林,03-8871611,是,否,是,True,POINT (289955.6895821312 2599008.064740684),Safe,1.694387171313984,85.06999969482422,Low,21.12838750915913,0.0975275165864315,27.488333333333333,565.0,0,無淹水,low
1883,花蓮縣瑞穗鄉,奇美村,2鄰40號,121.4467,23.4942,奇美社區活動中心,奇美村,20,"水災,土石流",蔣國雄,03-8991001,是,否,是,True,POINT (295624.15173176024 2599079.9598654327),Safe,9.722876585130958,117.02999877929688,Low,8.76363121129922,0.1068353150924312,14.046666666666669,71.0,0,無淹水,low
1891,花蓮縣萬榮鄉,紅葉村,1鄰9號,121.3446,23.4954,紅葉社區活動中心,紅葉村,50,"水災,土石流,海嘯",胡春花,03-8871426,是,否,是,True,POINT (285195.64820501406 2599184.1413993775),Low,11.3612785066434,252.55999755859372,Low,38.757189524286304,0.0974779508726981,29.25,164.0,0,無淹水,low
1894,花蓮縣瑞穗鄉,瑞穗村,成功北路18號,121.3759,23.4982,花蓮縣立瑞穗國民中學,全鄉,200,"水災,土石流",賴慶翰,03-8873111,是,否,是,True,POINT (288391.68619722535 2599502.2314226856),Safe,1.607911038348114,106.5199966430664,Low,26.609694560663726,0.0959210946448151,24.246666666666663,530.0,0,無淹水,low
1901,花蓮縣瑞穗鄉,瑞祥村,4鄰祥北路二段127號,121.3588,23.4998,瑞祥社區活動中心,瑞祥村,30,"水災,土石流",黃崧庭,03-8876570,是,否,是,True,POINT (286644.7583462449 2599674.953009621),Low,6.729377604062387,178.6699981689453,Low,33.33250312661231,0.0973114304821216,29.48333333333333,286.0,0,無淹水,low
1902,花蓮縣瑞穗鄉,瑞穗村,14鄰民生街41號,121.3787,23.4998,瑞穗社區活動中心,瑞穗村,30,"水災,土石流",吳萬德,03-8872964,是,否,是,True,POINT (288677.1936650799 2599680.168899517),Safe,1.4756331237857423,101.19000244140624,Low,26.609694560663726,0.0959210946448151,23.863333333333333,530.0,0,無淹水,low
1913,花蓮縣壽豐鄉,豐裡村,中山路257號,121.3021,23.5034,豐裡活動中心,豐裡村,42,"水災,震災,土石流,海嘯",曾振倫,03-8652802,是,否,是,True,POINT (280853.0275079267 2600060.303111022),Safe,26.919373297409017,969.6300048828124,Medium,40.38703152588268,0.1243951216222668,28.106666666666666,330.0,0,無淹水,low
1923,花蓮縣瑞穗鄉,鶴岡村,14鄰85之6號,121.3911,23.5097,鶴岡社區活動中心,鶴岡村,30,"水災,土石流",余新德,03-8873392,是,否,是,True,POINT (289940.6526784037 2600779.9053693786),Safe,2.5999017368912813,104.5199966430664,Low,18.782870541786927,0.0982123201616213,24.91333333333333,231.0,0,無淹水,low
1957,花蓮縣瑞穗鄉,瑞北村,4鄰祥北路一段54之1號,121.3765,23.5267,瑞北社區活動中心,瑞北村,30,"水災,土石流",李孔忠,03-8871754,是,否,是,True,POINT (288444.69231018005 2602658.533124876),Medium,2.670685326470821,110.08999633789062,Low,21.515226118902547,0.0993422202003163,26.14333333333333,157.0,0,無淹水,low
2047,花蓮縣豐濱鄉,豐濱村,16鄰豐里49之1號,121.4859,23.5681,八里灣基督長老教會,豐濱村八里灣部落,0,"水災,震災",吳德助,03-8791653,是,否,是,True,POINT (299600.23612930306 2607276.8694605515),High,17.42862591420466,204.0200042724609,Low,8.42893890908609,0.1267244309628337,11.221666666666666,413.0,0,無淹水,low
2060,花蓮縣瑞穗鄉,富民村,2鄰中正路一段208之1號,121.3745,23.5743,富民社區活動中心,富民村,30,"水災,土石流",劉賢明,03-8811149,是,否,是,True,POINT (288226.70197353885 2607929.333306862),Low,1.5555104636269144,171.19000244140625,Low,16.48895488933663,0.1035624225508206,14.123333333333331,248.0,0,無淹水,low
2069,花蓮縣萬榮鄉,馬遠村,1鄰5號,121.362553,23.576867,馬遠社區活動中心,馬遠村,120,"水災,土石流,海嘯",溫秀瑛,03-8811184,是,否,是,True,POINT (287006.4934510464 2608210.4724362073),Medium,6.347736272736666,205.66000366210935,Low,17.270721539133238,0.109305002517521,20.14333333333333,147.0,0,無淹水,low
2070,花蓮縣萬榮鄉,馬遠村,2鄰馬遠39號,121.361934,23.576872,馬遠國民小學,馬遠村,200,"水災,土石流,海嘯",溫秀瑛,03-8811184,是,否,是,True,POINT (286943.3089359377 2608210.8663692637),Medium,7.089103079984497,222.6999969482422,Low,17.270721539133238,0.109305002517521,20.14333333333333,147.0,0,無淹水,low
2076,花蓮縣瑞穗鄉,富源村,10鄰學士路31號,121.3759,23.5776,富源社區活動中心,富源村,30,"水災,土石流",周玉梅,03-8811434,是,否,是,True,POINT (288368.6479610081 2608295.158466389),Medium,1.5768347868719002,176.85000610351562,Low,16.48895488933663,0.1035624225508206,13.165,225.0,3,僅SAR偵測,mid
2077,花蓮縣瑞穗鄉,富源村,9鄰中正路157號,121.3764,23.5778,富源消防分隊,富源村、富民村、富興村,75,"水災,土石流",方小明,03-8811885,是,否,是,True,POINT (288419.6259740318 2608317.4410320013),Medium,1.5839579861242832,176.85000610351562,Low,16.48895488933663,0.1035624225508206,13.895,225.0,0,無淹水,low
2085,花蓮縣瑞穗鄉,富興村,13鄰東興路134號,121.3877,23.5817,富興社區活動中心,富興村,30,"水災,土石流",莊明州,03-8811414,是,否,是,True,POINT (289571.8741134975 2608752.4145605946),Low,1.8001966843701185,182.08999633789065,Low,15.486918864145531,0.100414194617217,14.176666666666666,197.0,0,無淹水,low
2117,花蓮縣光復鄉,大全村,建國路一段1號,121.4125,23.598,光復自強外役監獄,大全村,300,"水災,震災,土石流",陳萬來,03-8703914#310,是,是,是,True,POINT (292097.99575205916 2610564.600773508),High,8.631746631906312,290.9100036621094,Low,14.542067332254298,0.1045090181826163,15.261666666666668,213.0,0,無淹水,low
2122,花蓮縣光復鄉,大富村,建國路一段 26之2號,121.4162,23.5992,花東山琉璃禪寺,大富村,50,"水災,震災,土石流",簡進發,03-8731340,是,否,是,True,POINT (292475.2200847362 2610698.586036493),High,10.322638514817244,303.6700134277344,Low,14.542067332254298,0.1045090181826163,15.236666666666666,90.0,0,無淹水,low
2130,花蓮縣豐濱鄉,豐濱村,光豐路26號,121.5218,23.6012,豐濱國中禮堂,豐濱村,0,"水災,震災,土石流",劉文彥,03-8791159,是,否,是,True,POINT (303251.58573922317 2610955.392640315),Safe,12.825850884265948,87.3499984741211,Low,8.122050231337202,0.1064618993051523,7.46,413.0,0,無淹水,low
2143,花蓮縣光復鄉,大富村,明德路29巷12號,121.3909,23.6073,大富國小,大富村.大豐村,80,"水災,震災,土石流",郭瑛忠,03-8701049,是,是,是,True,POINT (289890.75414080755 2611588.32548974),Safe,1.6734643701673046,189.5,Low,15.635989157324245,0.0964121036988902,17.098333333333333,90.0,0,無淹水,low
2177,花蓮縣光復鄉,大興村,民權街17號,121.3982,23.6323,大興國小,大興村,300,"水災,震災,土石流",陳吉文,03-8702987,是,是,是,True,POINT (290628.0067361875 2614358.967766744),Low,1.4274797620256183,158.0800018310547,Low,17.263451726015585,0.0955499439252035,21.718333333333334,116.0,0,無淹水,low
2180,花蓮縣光復鄉,大興村,民權街37號,121.3942,23.6338,大興活動中心,大興村,100,"水災,震災,土石流",劉建榮,03-8702216,是,否,是,True,POINT (290219.42755535623 2614523.9519436196),Medium,2.063331182163937,167.1999969482422,Low,17.263451726015585,0.0955499439252035,21.245,116.0,0,無淹水,low
2182,花蓮縣豐濱鄉,新社村,9鄰東興18-1號,121.5308,23.6351,東興部落原住民多功能活動中心,新社村及磯崎村,0,海嘯,石蓮花,03-8711158,是,否,是,True,POINT (304156.15155297134 2614713.023180864),High,11.944816629948669,102.7699966430664,Low,7.502136264003987,0.1043738212563576,7.0633333333333335,153.0,0,無淹水,low
2185,花蓮縣光復鄉,西富村,民有街51巷3-1號,121.4295,23.6362,馬佛活動中心,西富村,100,"水災,震災,土石流",高有民,03-8702206,是,否,是,True,POINT (293820.26048181043 2614800.116436315),Safe,1.9266191653898677,143.6999969482422,Low,16.2756586990624,0.106004368538058,16.348333333333333,302.0,0,無淹水,low
2202,花蓮縣光復鄉,南富村,建國路二段39號,121.4512,23.6419,砂荖活動中心,南富村,100,"水災,震災,土石流",吳福鍵,03-8702206,是,否,是,True,POINT (296032.2666469143 2615438.181239876),Safe,3.2791924776600005,152.5399932861328,Low,15.4026765825976,0.1098589502590134,13.331666666666669,266.0,0,無淹水,low
2219,花蓮縣豐濱鄉,新社村,150號,121.5354,23.6519,新社國小二樓綜合教室,新社村,200,"水災,震災,土石流",許傳方,03-8711138,是,否,是,True,POINT (304618.5143337005 2616575.295449927),Medium,13.87017106723976,131.8800048828125,Low,7.154250993290072,0.1026085297053573,7.618333333333333,153.0,0,無淹水,low
2220,花蓮縣光復鄉,大全村,中山路一段216巷8號,121.4184,23.6521,光復鄉立托兒所,大全村.大進村,100,"水災,震災,土石流",羅彩和,03-8705165,是,是,是,True,POINT (292682.59851441754 2616557.5870971964),Low,0.9733046410886173,126.66000366210938,Low,18.17209152124164,0.0982294736216463,20.26,213.0,0,無淹水,low
2227,花蓮縣光復鄉,西富村,中正路二段72巷14號,121.4494,23.6584,西南活動中心,西富村,100,"水災,震災,土石流",劉貴滿,03-8702923,是,否,是,True,POINT (295842.8751663231 2617264.8858005316),Safe,1.1390256872017204,115.1999969482422,Low,15.720802071334102,0.1079935895722295,13.406666666666666,302.0,0,無淹水,low
2232,花蓮縣光復鄉,北富村,中正路二段23號,121.4484,23.6601,太巴塱國小,北富村.西富村,100,"水災,震災,土石流",林萬男,03-8701134#10,是,是,是,True,POINT (295740.2734011969 2617452.830836474),Safe,1.6343544490760422,115.22000122070312,Low,16.815084677346775,0.1044122351570244,13.29,249.0,0,無淹水,low
2236,花蓮縣光復鄉,大同村,中正路一段370號,121.431,23.6633,大同活動中心,大同村,100,"水災,震災,土石流",吳張義,03-8701180,是,否,是,True,POINT (293964.2454033442 2617801.746475203),Safe,2.022468974066295,120.27999877929688,Low,17.584992222552803,0.1022331125164697,16.885,315.0,0,無淹水,low
2244,花蓮縣光復鄉,大華村,中華路257號,121.4233,23.6694,光復鄉公所,大安村、大華村,100,"水災,震災,土石流",黃微鈞,03-8702206#239,是,是,是,True,POINT (293176.7920188827 2618474.937116899),Medium,2.240404917379007,161.6999969482422,Low,18.366842391754545,0.0991377418754963,20.85833333333333,411.0,0,無淹水,low
2247,花蓮縣光復鄉,大馬村,林森路200號,121.4248,23.6705,光復國中,大平村.大馬村.大同村,100,"水災,震災,土石流",葉淑貞,03-8701027,是,是,是,True,POINT (293329.4320029559 2618597.2106575104),Medium,1.1052264729780894,126.68000030517578,Low,18.366842391754545,0.0991377418754963,20.85833333333333,281.0,0,無淹水,low
2277,花蓮縣光復鄉,東富村,東富路60號,121.4825,23.6845,東富國小,東富村,100,"水災,震災,土石流",鄭金寶,03-8701292,是,是,是,True,POINT (299209.6549715424 2620166.352207641),Safe,8.981322559743287,165.74000549316406,Low,11.795867887463729,0.1026669218970779,10.398333333333332,266.0,0,無淹水,low
2293,花蓮縣萬榮鄉,明利村,5鄰75號,121.4018,23.696,馬太鞍社區活動中心,明利村,80,"水災,土石流,海嘯",許花麗,03-8751114,是,否,是,True,POINT (290975.4591644779 2621414.399873519),Safe,14.11522974109827,303.739990234375,Low,19.111809983724008,0.0959505423615063,18.626666666666665,124.0,0,無淹水,low
2323,花蓮縣萬榮鄉,明利村,2鄰34-8號,121.412375,23.704834,明利社區活動中心,明利村,100,"水災,土石流,海嘯",許花麗,03-8751114,是,否,是,True,POINT (292051.0771216389 2622395.7988191787),Safe,10.347206773748695,264.6300048828125,Low,18.15831252395619,0.0949092069659057,17.205,124.0,0,無淹水,low
2333,花蓮縣豐濱鄉,磯崎村,71號,121.5419,23.7085,磯崎村辦公處活動中心,磯崎村,0,"水災,震災,土石流",李貴良,03-8711029,是,否,是,True,POINT (305257.8102027752 2622846.015979763),Medium,21.54398908052412,146.5800018310547,Medium,3.887962881356082,0.1033239140557888,3.81,100.0,0,無淹水,low
2337,花蓮縣鳳林鎮,長橋里,長橋路4號,121.4195,23.7097,長橋社區活動中心,長橋里,50,"水災,土石流",董經碩,03-8751131,是,否,否,True,POINT (292776.05646539433 2622936.804301646),Safe,1.4291127943116793,145.0800018310547,Low,17.340222320763957,0.0948521368536022,15.51,312.0,3,僅SAR偵測,mid
