避難收容處所名稱,縣市及鄉鎮市區,村里,避難收容處所地址,預計收容人數,室內,室外,經度,緯度,mean_elevation,max_slope,std_elevation,fusion_class,fusion_label,flood_confidence
松浦社區活動中心,花蓮縣玉里鎮,松浦里,松浦214-3號,0,是,否,121.3737,23.4293,96.41305025349914,44.3604736328125,18.238266058604545,0,無淹水,low
三民社區活動中心,花蓮縣玉里鎮,三民里,三民131-2號,25,是,否,121.3498,23.4321,97.0742092015792,44.00849151611328,14.092576219346215,0,無淹水,low
古楓社區活動中心,花蓮縣卓溪鄉,古風村,12鄰4號,50,是,否,121.332,23.4363,208.2503106220191,47.45365905761719,46.62290580884192,0,無淹水,low
立山社區活動中心,花蓮縣卓溪鄉,立山村,6鄰58號,50,是,否,121.332,23.4363,208.2503106220191,47.45365905761719,46.62290580884192,0,無淹水,low
崙山國小,花蓮縣卓溪鄉,崙山村,1鄰12號,100,是,否,121.3443,23.4391,162.84708940745008,45.81162643432617,31.124012502508915,0,無淹水,low
崙山社區活動中心,花蓮縣卓溪鄉,崙山村,1鄰11-1號,50,是,否,121.3438,23.4393,168.50003550051431,45.81162643432617,30.455835156138832,0,無淹水,low
春日社區活動中心,花蓮縣玉里鎮,春日里,75-1號,35,是,否,121.3967,23.455,93.23346433055644,15.351052284240724,4.723424658753097,0,無淹水,low
舞鶴社區活動中心,花蓮縣瑞穗鄉,舞鶴村,14鄰中正南路二段278號,100,是,否,121.3536,23.4602,229.88353063622296,49.79938507080078,6.972891229106177,0,無淹水,low
靜浦國小大禮堂,花蓮縣豐濱鄉,靜浦村,64號,0,是,否,121.4954,23.4615,18.59616715898101,54.6103401184082,16.17456837759927,0,無淹水,low
德武里原住民多功能活動中心,花蓮縣玉里鎮,德武里,5鄰能雅79號,50,是,否,121.4074,23.4669,147.05061723358776,43.67141342163086,30.71012936431697,0,無淹水,low
港口活動中心,花蓮縣豐濱鄉,港口村,7鄰118號,0,是,否,121.5043,23.4745,35.58046254299331,89.9505615234375,25.98027895714102,0,無淹水,low
瑞穗青蓮寺,花蓮縣瑞穗鄉,瑞美村,仁愛路109號,100,是,否,121.3904,23.4909,82.034118325703,19.34541130065918,3.1329949562460446,0,無淹水,low
花蓮縣鶴岡國民小學,花蓮縣瑞穗鄉,鶴岡村,167 號,100,否,否,121.39,23.4913,82.40750008797158,10.432132720947266,3.1620223949497994,0,無淹水,low
瑞良社區活動中心,花蓮縣瑞穗鄉,瑞良村,4鄰信義路3號,30,是,否,121.394,23.4924,77.27213046650395,28.97977066040039,5.138982123083691,0,無淹水,low
花蓮縣瑞穗鄉瑞美國民小學,花蓮縣瑞穗鄉,瑞美村,中山路二段389號,50,是,否,121.3916,23.4931,79.21338776958233,10.6683988571167,4.625392943991501,0,無淹水,low
瑞美社區活動中心,花蓮縣瑞穗鄉,瑞美村,13鄰中山路二段387號,30,是,否,121.3912,23.4937,78.97472960413718,10.075521469116213,4.748627476584637,0,無淹水,low
奇美社區活動中心,花蓮縣瑞穗鄉,奇美村,2鄰40號,20,是,否,121.4467,23.4942,63.71888265512428,66.62850189208984,32.61402305673542,0,無淹水,low
紅葉社區活動中心,花蓮縣萬榮鄉,紅葉村,1鄰9號,50,是,否,121.3446,23.4954,206.0061295823988,45.973140716552734,47.56329031704627,0,無淹水,low
花蓮縣立瑞穗國民中學,花蓮縣瑞穗鄉,瑞穗村,成功北路18號,200,是,否,121.3759,23.4982,100.47675701449182,8.308130264282227,5.053010071070563,0,無淹水,low
瑞祥社區活動中心,花蓮縣瑞穗鄉,瑞祥村,4鄰祥北路二段127號,30,是,否,121.3588,23.4998,147.1249031237992,44.24522018432617,27.791034478135032,0,無淹水,low
瑞穗社區活動中心,花蓮縣瑞穗鄉,瑞穗村,14鄰民生街41號,30,是,否,121.3787,23.4998,94.07487247233487,8.308130264282227,4.984613575091226,0,無淹水,low
豐裡活動中心,花蓮縣壽豐鄉,豐裡村,中山路257號,42,是,否,121.3021,23.5034,843.46134972926,52.543453216552734,96.0273854099223,0,無淹水,low
鶴岡社區活動中心,花蓮縣瑞穗鄉,鶴岡村,14鄰85之6號,30,是,否,121.3911,23.5097,91.0210123405182,33.57218933105469,10.526579264605497,0,無淹水,low
瑞北社區活動中心,花蓮縣瑞穗鄉,瑞北村,4鄰祥北路一段54之1號,30,是,否,121.3765,23.5267,99.4256450258184,15.09557056427002,4.298972667294958,0,無淹水,low
八里灣基督長老教會,花蓮縣豐濱鄉,豐濱村,16鄰豐里49之1號,0,是,否,121.4859,23.5681,108.42755735242687,54.41399765014648,34.36408600531998,0,無淹水,low
富民社區活動中心,花蓮縣瑞穗鄉,富民村,2鄰中正路一段208之1號,30,是,否,121.3745,23.5743,164.60971021991782,15.380847930908203,5.117282446579567,0,無淹水,low
馬遠社區活動中心,花蓮縣萬榮鄉,馬遠村,1鄰5號,120,是,否,121.362553,23.576867,190.11087047786677,39.04113006591797,25.47976778588394,0,無淹水,low
馬遠國民小學,花蓮縣萬榮鄉,馬遠村,2鄰馬遠39號,200,是,否,121.361934,23.576872,197.8869235390111,39.04113006591797,34.851494730273,0,無淹水,low
富源社區活動中心,花蓮縣瑞穗鄉,富源村,10鄰學士路31號,30,是,否,121.3759,23.5776,168.8645663981535,5.973229885101318,5.109995009214949,3,僅SAR偵測,mid
富源消防分隊,花蓮縣瑞穗鄉,富源村,9鄰中正路157號,75,是,否,121.3764,23.5778,168.3039387683479,5.973229885101318,5.1778935047888845,0,無淹水,low
富興社區活動中心,花蓮縣瑞穗鄉,富興村,13鄰東興路134號,30,是,否,121.3877,23.5817,173.2320801976496,6.912699222564697,6.418180808060369,0,無淹水,low
光復自強外役監獄,花蓮縣光復鄉,大全村,建國路一段1號,300,是,是,121.4125,23.598,230.5917838715875,47.90846633911133,31.64325772415067,0,無淹水,low
花東山琉璃禪寺,花蓮縣光復鄉,大富村,建國路一段 26之2號,50,是,否,121.4162,23.5992,251.58691847664969,38.62959289550781,31.69700778637932,0,無淹水,low
豐濱國中禮堂,花蓮縣豐濱鄉,豐濱村,光豐路26號,0,是,否,121.5218,23.6012,36.28316486630286,57.25641632080078,34.90565568980659,0,無淹水,low
大富國小,花蓮縣光復鄉,大富村,明德路29巷12號,80,是,是,121.3909,23.6073,181.8063245500837,11.294124603271484,6.098676341940836,0,無淹水,low
大興國小,花蓮縣光復鄉,大興村,民權街17號,300,是,是,121.3982,23.6323,151.0000970000753,8.84195613861084,4.20747082217615,0,無淹水,low
大興活動中心,花蓮縣光復鄉,大興村,民權街37號,100,是,否,121.3942,23.6338,162.0300458012795,33.84364700317383,12.84084961548992,0,無淹水,low
東興部落原住民多功能活動中心,花蓮縣豐濱鄉,新社村,9鄰東興18-1號,0,是,否,121.5308,23.6351,55.47204308564128,89.95055389404297,42.40605790600291,0,無淹水,low
馬佛活動中心,花蓮縣光復鄉,西富村,民有街51巷3-1號,100,是,否,121.4295,23.6362,136.602392000426,8.204384803771973,4.385235797472356,0,無淹水,low
砂荖活動中心,花蓮縣光復鄉,南富村,建國路二段39號,100,是,否,121.4512,23.6419,133.32439227391555,32.3177375793457,10.740751265493454,0,無淹水,low
新社國小二樓綜合教室,花蓮縣豐濱鄉,新社村,150號,200,是,否,121.5354,23.6519,58.17358177807006,89.95055389404297,44.49830369925715,0,無淹水,low
光復鄉立托兒所,花蓮縣光復鄉,大全村,中山路一段216巷8號,100,是,是,121.4184,23.6521,123.08474994970828,10.495209693908691,1.6905556738184944,0,無淹水,low
西南活動中心,花蓮縣光復鄉,西富村,中正路二段72巷14號,100,是,否,121.4494,23.6584,112.304421784862,14.215459823608398,2.052883102364917,0,無淹水,low
太巴塱國小,花蓮縣光復鄉,北富村,中正路二段23號,100,是,是,121.4484,23.6601,110.8809099996992,14.215459823608398,2.008817436596864,0,無淹水,low
大同活動中心,花蓮縣光復鄉,大同村,中正路一段370號,100,是,否,121.431,23.6633,114.47701323311873,12.345524787902832,1.7767285949316245,0,無淹水,low
光復鄉公所,花蓮縣光復鄉,大華村,中華路257號,100,是,是,121.4233,23.6694,126.66297296332438,41.27239990234375,15.095415714838904,0,無淹水,low
光復國中,花蓮縣光復鄉,大馬村,林森路200號,100,是,是,121.4248,23.6705,124.9481349042562,37.04692459106445,9.269694288197348,0,無淹水,low
東富國小,花蓮縣光復鄉,東富村,東富路60號,100,是,是,121.4825,23.6845,118.30464114511892,35.914310455322266,25.34007539388684,0,無淹水,low
馬太鞍社區活動中心,花蓮縣萬榮鄉,明利村,5鄰75號,80,是,否,121.4018,23.696,225.41236727189045,31.396209716796875,55.92061474341544,0,無淹水,low
明利社區活動中心,花蓮縣萬榮鄉,明利村,2鄰34-8號,100,是,否,121.412375,23.704834,170.11798252343402,42.17158508300781,44.74052914387058,0,無淹水,low
磯崎村辦公處活動中心,花蓮縣豐濱鄉,磯崎村,71號,0,是,否,121.5419,23.7085,83.96182235824386,63.652252197265625,44.046407074460205,0,無淹水,low
長橋社區活動中心,花蓮縣鳳林鎮,長橋里,長橋路4號,50,是,否,121.4195,23.7097,140.13714589499065,6.26765251159668,3.4245015510747256,3,僅SAR偵測,mid
萬榮鄉立幼兒園,花蓮縣萬榮鄉,明利村,1鄰13-3號,50,是,否,121.414808,23.709766,146.60482128688267,57.65473175048828,9.952355568744746,0,無淹水,low
萬榮社區活動中心,花蓮縣萬榮鄉,萬榮村,1鄰8號,50,是,否,121.410119,23.714392,188.30896429723623,51.59683227539063,54.355638728729474,0,無淹水,low
森榮里辦公處,花蓮縣鳳林鎮,森榮里,林森路113-1號,30,是,否,121.3972,23.7176,210.26706849079696,61.39030456542969,59.575779883395626,0,無淹水,low
鳳信社區活動中心,花蓮縣鳳林鎮,鳳信里,中正路1段120巷24號,50,是,否,121.4434,23.7297,118.3727606400878,7.182109355926514,2.4850952020081816,0,無淹水,low
樂活會館,花蓮縣鳳林鎮,鳳智里,中華路2號,150,是,否,121.449348,23.741218,106.3267789551529,6.130014896392822,2.1867431256017413,0,無淹水,low
鳳林鎮藝文中心,花蓮縣鳳林鎮,鳳智里,中正路2段1號,300,是,是,121.4472,23.7429,106.00523252881908,11.378989219665527,2.209175511012752,0,無淹水,low
鳳林國中進德堂,花蓮縣鳳林鎮,鳳智里,鳳林鎮光復路8號,350,是,是,121.4488,23.7439,104.43240838138246,11.378989219665527,2.1943911756901318,3,僅SAR偵測,mid
鳳林鎮公所,花蓮縣鳳林鎮,鳳智里,光華路124號,80,是,否,121.4518,23.7447,102.2702397988767,5.689922332763672,2.327683268607454,0,無淹水,low
"鳳禮,鳳智里活動中心",花蓮縣鳳林鎮,鳳智里,大同街7-1號,60,是,否,121.451,23.746,101.64961733915368,9.51681423187256,2.3179747492248977,0,無淹水,low
鳳義社區活動中心,花蓮縣鳳林鎮,鳳義里,鳳林鎮水源路56-2號,50,是,否,121.4393,23.7491,106.19157463104936,8.786844253540039,3.149256573251953,0,無淹水,low
鳳仁社區活動中心,花蓮縣鳳林鎮,鳳仁里,中華路111號,50,是,否,121.452,23.7498,97.90028583084582,9.51681423187256,2.4450950295802008,0,無淹水,low
鳳仁國小羽球館,花蓮縣鳳林鎮,鳳仁里,鳳林鎮光復路94號,300,是,是,121.4518,23.7512,96.93248594869962,9.51681423187256,2.3499303999839367,0,無淹水,low
大榮2村社區活動中心,花蓮縣鳳林鎮,大榮里,復興路69號,50,是,否,121.4676,23.7523,87.82752932035007,3.7919130325317374,1.9626905908258532,0,無淹水,low
大榮1村社區活動中心,花蓮縣鳳林鎮,大榮里,鳳林鎮大榮3路15號,50,是,否,121.4676,23.7523,87.82752932035007,3.7919130325317374,1.9626905908258532,0,無淹水,low
北林3村社區活動中心,花蓮縣鳳林鎮,北林里,民和路1號,50,是,否,121.471,23.7672,82.82039366177986,5.809702396392822,2.5841173284857426,0,無淹水,low
南平社區活動中心,花蓮縣鳳林鎮,南平里,自強路368-1號,50,是,否,121.4584,23.7817,111.12480109857052,8.654273986816406,4.221218682345088,0,無淹水,low
水璉活動中心,花蓮縣壽豐鄉,水璉村,水璉二街21號,41,是,否,121.5472,23.7817,126.9101020384808,43.36705017089844,47.96691306532143,0,無淹水,low
見晴國民小學,花蓮縣萬榮鄉,見晴村,7鄰89號,130,是,否,121.451955,23.783512,120.88551515924324,6.203010559082031,4.010577198678648,0,無淹水,low
米棧活動中心,花蓮縣壽豐鄉,米棧村,米棧路二段21號,34,是,否,121.5243,23.7951,146.82892785615067,51.88279342651367,76.21295049274669,0,無淹水,low
林榮社區活動中心,花蓮縣鳳林鎮,林榮里,永康路54號,50,是,否,121.45,23.8035,154.03611313076087,12.711492538452148,4.16002878643088,0,無淹水,low
溪口活動中心,花蓮縣壽豐鄉,溪口村,溪口路103巷2號,50,是,否,121.4734,23.8195,112.19197760299076,45.41263961791992,12.200913154821174,0,無淹水,low
豐坪活動中心,花蓮縣壽豐鄉,豐坪村,豐坪路2段73號,32,是,否,121.5096,23.8351,51.10397354024925,4.432873249053955,2.9468413917909198,0,無淹水,low
樹湖活動中心,花蓮縣壽豐鄉,樹湖村,大樹腳59號,38,是,否,121.4692,23.8407,152.68363080372438,40.16322326660156,53.56447943404024,0,無淹水,low
豐山國小,花蓮縣壽豐鄉,豐山村,中山路41號,50,是,否,121.4918,23.8464,54.043183678996805,6.977340698242188,2.81547207592058,0,無淹水,low
豐山活動中心,花蓮縣壽豐鄉,豐山村,中山路127巷15號,47,是,否,121.4936,23.8478,51.63944413818796,6.977340698242188,2.6101875987843823,0,無淹水,low
西林社區活動中心,花蓮縣萬榮鄉,西林村,8鄰134號,100,是,否,121.342737,23.855288,1150.6322254073589,76.22686004638672,224.6353221911453,3,僅SAR偵測,mid
西林天主堂,花蓮縣萬榮鄉,西林村,7鄰103號,100,是,否,121.3593,23.8576,924.8227133977056,79.40110778808594,220.983280792191,0,無淹水,low
月眉國小,花蓮縣壽豐鄉,月眉村,月眉路3段24號,50,是,否,121.556384,23.867967,48.37176437416835,33.331424713134766,11.945415677184355,0,無淹水,low
月眉國小-米棧分校,花蓮縣壽豐鄉,米棧村,米棧路一段53號,45,是,否,121.5564,23.8681,47.8642056653553,33.331424713134766,11.555580622841614,0,無淹水,low
壽豐活動中心,花蓮縣壽豐鄉,壽豐村,壽豐路1段97號,13,是,否,121.5099,23.8691,34.76458030981808,25.228166580200195,1.7776127127070642,0,無淹水,low
共和活動中心,花蓮縣壽豐鄉,共和村,農墾2街38號,31,是,否,121.5308,23.8693,30.59528900692835,12.66097354888916,1.7456205688573418,0,無淹水,low
壽豐鄉公所,花蓮縣壽豐鄉,壽豐村,壽山路26號,50,否,是,121.5091,23.8704,34.94276159597088,32.05309295654297,2.828423031961961,0,無淹水,low
文化中心,花蓮縣壽豐鄉,壽豐村,公園路30號,50,是,否,121.5091,23.8704,34.94276159597088,32.05309295654297,2.828423031961961,0,無淹水,low
鹽寮活動中心,花蓮縣壽豐鄉,鹽寮村,鹽寮165號,15,是,否,121.59829,23.871385,64.30443856952272,89.9505386352539,58.81405362048356,0,無淹水,low
光榮活動中心,花蓮縣壽豐鄉,光榮村,光榮1街26之1號,39,是,否,121.5143,23.8817,44.32913821160581,32.66238784790039,7.442481723189086,0,無淹水,low
平和活動中心,花蓮縣壽豐鄉,平和村,平和路32號,49,是,否,121.5197,23.8837,45.575326528354566,38.665184020996094,7.082568445500325,0,無淹水,low
月眉活動中心,花蓮縣壽豐鄉,月眉村,月眉路三段108號,53,是,否,121.554,23.8996,33.8511785896457,16.635103225708008,2.5342777588521046,0,無淹水,low
志學活動中心,花蓮縣壽豐鄉,志學村,中正路120巷13號,40,是,否,121.5322,23.9053,46.37683677284085,8.895546913146973,2.5122770409134825,0,無淹水,low
池南活動中心,花蓮縣壽豐鄉,池南村,池南路2段17號,53,是,否,121.506,23.9197,165.8107393528356,45.408790588378906,43.28280697644838,0,無淹水,low
光華活動中心,花蓮縣吉安鄉,光華村,光華二街200號,37,是,否,121.578,23.934,32.88485466345787,6.462984085083008,2.9625678054497997,0,無淹水,low
干城活動中心,花蓮縣吉安鄉,干城村,干城一街97巷1號,35,是,否,121.545,23.9474,75.86982151636477,10.941096305847168,3.4355737852270685,9,無淹水(SAR無資料),low
文蘭活動中心,花蓮縣秀林鄉,文蘭村,6鄰79號,100,是,否,121.5068,23.9479,146.48594900637258,53.10033798217773,40.07482947832108,0,無淹水,low
仁安活動中心,花蓮縣吉安鄉,仁安村,南海三街71號,63,是,否,121.5968,23.9517,11.673897957801818,5.308277606964111,2.48112587540129,9,無淹水(SAR無資料),low
南華活動中心,花蓮縣吉安鄉,南華村,南華四街123號,63,是,否,121.5513,23.9527,66.20875504552102,5.041212558746338,3.5372051178116544,9,無淹水(SAR無資料),low
稻香活動中心,花蓮縣吉安鄉,稻香村,慶豐路79號,40,是,否,121.5757,23.9548,34.4716470923611,4.401075839996338,2.989640706579652,9,無淹水(SAR無資料),low
永興活動中心,花蓮縣吉安鄉,永興村,永興七街86號,53,是,否,121.5683,23.955,43.37071900900258,5.237388610839844,3.113043819697689,9,無淹水(SAR無資料),low
仁和活動中心,花蓮縣吉安鄉,仁和村,南海三街314號,101,是,否,121.5876,23.9563,20.858051012973394,5.954029560089111,2.6294706626134303,9,無淹水(SAR無資料),low
銅門收容所,花蓮縣秀林鄉,銅門村,9鄰53號,70,是,否,121.4944,23.965,179.4149363591121,65.69160461425781,50.59950489136634,9,無淹水(SAR無資料),low
東昌活動中心,花蓮縣吉安鄉,東昌村,東海六街74號,47,是,否,121.5953,23.9658,12.7919652818599,11.091901779174805,2.38587774818272,9,無淹水(SAR無資料),low
仁里活動中心,花蓮縣吉安鄉,仁里村,仁里五街1號,90,是,否,121.5925,23.9684,15.263420236622627,11.909059524536133,2.332045353402864,9,無淹水(SAR無資料),low
主農社區活動中心,花蓮縣花蓮市,主農里,中順街77號,50,是,否,121.5968,23.9688,11.788204079988052,11.091901779174805,2.08529160267464,9,無淹水(SAR無資料),low
福興活動中心,花蓮縣吉安鄉,福興村,福德街1號,106,是,否,121.5624,23.9689,42.00292112627102,3.981531381607056,2.7374269661937927,9,無淹水(SAR無資料),low
南昌活動中心,花蓮縣吉安鄉,南昌村,文化七街64號,72,是,否,121.5797,23.9704,25.80308396239924,4.2220072746276855,2.236406836150464,9,無淹水(SAR無資料),low
中正國小,花蓮縣花蓮市,主學里,中正路210號,187,是,否,121.5997,23.9717,10.053610832138371,5.644842147827148,2.0633090016431463,9,無淹水(SAR無資料),low
中原國小文中三國中預定地,花蓮縣花蓮市,主權里,中原路531號,85,是,否,121.5964,23.9718,12.500920190748127,11.269643783569336,1.899358475907323,9,無淹水(SAR無資料),low
吉安國小,花蓮縣吉安鄉,吉安村,吉安路二段97號,223,是,否,121.5628,23.9734,38.51835791059842,6.231012344360352,2.5225685273632226,9,無淹水(SAR無資料),low
花蓮城隍廟香客大樓,花蓮縣花蓮市,主睦里,成功街169號,100,是,否,121.6058,23.9734,5.557756346615438,5.15823221206665,1.6464787335391002,9,無淹水(SAR無資料),low
吉安活動中心,花蓮縣吉安鄉,吉安村,中興路355巷7號,32,是,否,121.5643,23.9736,37.26752668094392,6.231012344360352,2.486136158359828,9,無淹水(SAR無資料),low
五穀宮,花蓮縣吉安鄉,吉安村,中山路三段99巷18號,70,是,否,121.5742,23.974,29.428723824517103,9.105493545532228,2.1592689189490684,9,無淹水(SAR無資料),low
勝安活動中心,花蓮縣吉安鄉,勝安村,慈惠一街30號,38,是,否,121.5869,23.9754,19.81721061519796,9.941205024719238,1.9624324921252263,9,無淹水(SAR無資料),low
宜昌活動中心,花蓮縣吉安鄉,宜昌村,吉祥六街52巷9號,49,是,否,121.5832,23.9756,22.5843185227157,11.52906894683838,2.0345347137711647,9,無淹水(SAR無資料),low
忠孝國小,花蓮縣花蓮市,主力里,中華路298號,47,是,否,121.5986,23.9756,10.99695209504146,5.381811141967773,1.902032632553286,9,無淹水(SAR無資料),low
主權社區活動中心,花蓮縣花蓮市,主權里,中原路666號,72,是,否,121.5938,23.9757,14.705002565437516,7.493312358856201,2.001907178787234,9,無淹水(SAR無資料),low
勝安宮,花蓮縣吉安鄉,勝安村,慈惠三街118號,1300,是,否,121.5867,23.9777,20.5794336825001,9.941205024719238,2.1402140006916124,9,無淹水(SAR無資料),low
聖地慈惠堂,花蓮縣吉安鄉,勝安村,慈惠三街136號,700,是,否,121.586,23.978,21.23123350724351,11.52906894683838,2.1371089187447767,9,無淹水(SAR無資料),low
中正體育館,花蓮縣花蓮市,民權里,公園路53號,593,是,否,121.6142,23.978,9.30802860299736,89.95054626464844,4.892918094671565,9,無淹水(SAR無資料),low
國風國中,花蓮縣花蓮市,國風里,林政街7號,800,是,否,121.5954,23.9785,13.41998476395762,6.076157569885254,2.1303246597177687,9,無淹水(SAR無資料),low
明義國小,花蓮縣花蓮市,國風里,明義街107號,185,是,否,121.6029,23.979,7.879598984258429,5.381811141967773,1.6883778283719704,9,無淹水(SAR無資料),low
花蓮市公所,花蓮縣花蓮市,國威里,林森路252號,37,是,否,121.6068,23.9821,6.632800409665176,18.346664428710938,1.6495050467631258,9,無淹水(SAR無資料),low
慶豐活動中心,花蓮縣吉安鄉,慶豐村,慶北一街237號,61,是,否,121.5632,23.9825,43.060526580654525,8.793591499328613,3.054062657752232,9,無淹水(SAR無資料),low
國立花蓮農業職業學校,花蓮縣花蓮市,國魂里,建國路161號,382,是,否,121.599,23.9836,10.881045917345553,6.076157569885254,1.78699776136093,9,無淹水(SAR無資料),low
花蓮高商,花蓮縣花蓮市,國安里,中山路418號,266,是,否,121.6025,23.9865,9.181820969935268,7.713634490966797,1.4881620318763242,9,無淹水(SAR無資料),low
北昌活動中心,花蓮縣吉安鄉,南華村,南華四街123號,83,是,否,121.5947,23.987,14.769837312063228,6.076157569885254,2.142624743733497,9,無淹水(SAR無資料),low
南美崙營區,花蓮縣花蓮市,民勤里,新興路80號,300,是,否,121.6157,23.9887,53.2410619704704,35.21564483642578,17.338655832485607,9,無淹水(SAR無資料),low
永安活動中心,花蓮縣吉安鄉,永安村,太昌路488號,156,是,否,121.5731,23.989,39.78151965104822,5.12160587310791,3.5630515620391807,9,無淹水(SAR無資料),low
中華國小,花蓮縣花蓮市,國盛里,國盛二街22號,189,是,否,121.607,23.992,9.720102153041148,31.58583641052246,5.464536406530703,9,無淹水(SAR無資料),low
鑄強國小,花蓮縣花蓮市,民政里,永興路20號,293,是,否,121.6255,23.9928,31.571852018395248,9.58348560333252,5.076910715644039,9,無淹水(SAR無資料),low
太昌活動中心,花蓮縣吉安鄉,太昌村,太昌路488號,80,是,否,121.5639,23.9936,55.96683001165307,11.351899147033691,4.069248695210551,9,無淹水(SAR無資料),low
